Time,Channel A
(ms),(V)

90.06599977,-4.32081100
90.06799977,-4.30982400
90.06999977,-4.34156300
90.07199977,-4.30982400
90.07399977,-4.32081100
90.07599977,-4.35194000
90.07799977,-4.34156300
90.07999977,-4.29944800
90.08199977,-4.29944800
90.08399977,-4.33118700
90.08599977,-4.28907100
90.08799977,-4.27869500
90.08999977,-4.29944800
90.09199977,-4.29944800
90.09399977,-4.34156300
90.09599977,-4.33118700
90.09799977,-4.33118700
90.09999977,-4.27869500
90.10199977,-4.33118700
90.10399977,-4.35194000
90.10599977,-4.34156300
90.10799977,-4.28907100
90.10999977,-4.33118700
90.11199977,-4.32081100
90.11399977,-4.35194000
90.11599977,-4.36292600
90.11799977,-4.32081100
90.11999977,-4.32081100
90.12199977,-4.29944800
90.12399977,-4.29944800
90.12599977,-4.28907100
90.12799977,-4.28907100
90.12999977,-4.35194000
90.13199977,-4.30982400
90.13399977,-4.35194000
90.13599977,-4.30982400
90.13799977,-4.32081100
90.13999977,-4.29944800
90.14199977,-4.36292600
90.14399977,-4.28907100
90.14599977,-4.33118700
90.14799977,-4.28907100
90.14999977,-4.34156300
90.15199977,-4.33118700
90.15399977,-4.35194000
90.15599977,-4.30982400
90.15799977,-4.34156300
90.15999977,-4.33118700
90.16199977,-4.32081100
90.16399977,-4.33118700
90.16599977,-4.32081100
90.16799977,-4.35194000
90.16999977,-4.32081100
90.17199977,-4.30982400
90.17399977,-4.37330200
90.17599977,-4.29944800
90.17799977,-4.27869500
90.17999977,-4.34156300
90.18199977,-4.28907100
90.18399977,-4.32081100
90.18599977,-4.32081100
90.18799977,-4.32081100
90.18999977,-4.32081100
90.19199977,-4.32081100
90.19399977,-4.29944800
90.19599977,-4.32081100
90.19799977,-4.30982400
90.19999977,-4.29944800
90.20199977,-4.28907100
90.20399977,-4.36292600
90.20599977,-4.28907100
90.20799977,-4.28907100
90.20999977,-4.33118700
90.21199977,-4.29944800
90.21399977,-4.30982400
90.21599977,-4.32081100
90.21799977,-4.33118700
90.21999977,-4.29944800
90.22199977,-4.29944800
90.22399977,-4.34156300
90.22599977,-4.27869500
90.22799977,-4.29944800
90.22999977,-4.30982400
90.23199977,-4.30982400
90.23399977,-4.26770800
